// SR1 Audio Analyzer: 12/6/2024 10:05:51 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,3.17239430583102E-8
0.976569122783222,3.47873544970062E-8
1.95313824556644,3.484563516479E-8
2.92970736834967,3.0211726126917E-8
3.90627649113289,2.5904313655872E-8
4.88284561391611,2.2413409194386E-8
5.85941473669933,2.02021055962968E-8
6.83598385948255,1.97694063685628E-8
7.81255298226578,2.03587526583782E-8
8.789122105049,2.12194048496232E-8
9.76569122783222,2.14823077082947E-8
10.7422603506154,2.09530397057918E-8
11.7188294733987,2.04306538004045E-8
12.6953985961819,1.99120467225314E-8
13.6719677189651,1.94295618775614E-8
14.6485368417483,1.9472270883068E-8
15.6251059645316,1.95839328830683E-8
16.6016750873148,1.93818595979508E-8
17.578244210098,1.91529293778044E-8
18.5548133328812,1.90818469887981E-8
19.5313824556644,1.90992394142902E-8
20.5079515784477,1.85089943330073E-8
21.4845207012309,1.81075360634636E-8
22.4610898240141,1.85477819099843E-8
23.4376589467973,1.90934647962333E-8
24.4142280695806,1.89841377684647E-8
25.3907971923638,1.83671919515434E-8
26.367366315147,2.16961896198537E-8
27.3439354379302,3.18029263250924E-8
28.3205045607134,3.7468640453008E-8
29.2970736834967,3.17025135568392E-8
30.2736428062799,2.24232923877636E-8
31.2502119290631,1.79141469068696E-8
32.2267810518463,1.69831406596962E-8
33.2033501746295,1.74584455003611E-8
34.1799192974128,1.79950110752085E-8
35.156488420196,1.84359879812904E-8
36.1330575429792,1.89073633850352E-8
37.1096266657624,1.91731087646321E-8
38.0861957885457,1.91936496956203E-8
39.0627649113289,1.89666266477186E-8
40.0393340341121,1.86931206012395E-8
41.0159031568953,1.86252712748663E-8
41.9924722796786,1.87221506894648E-8
42.9690414024618,1.89891415874325E-8
43.945610525245,1.91665968284476E-8
44.9221796480282,1.87695511175669E-8
45.8987487708114,1.75514699908147E-8
46.8753178935947,1.67520669090433E-8
47.8518870163779,1.71995250767862E-8
48.8284561391611,1.77641486736793E-8
49.8050252619443,1.73220722946524E-8
50.7815943847275,1.65406799118322E-8
51.7581635075108,1.65948941303479E-8
52.734732630294,1.72108632410495E-8
53.7113017530772,1.77101432383177E-8
54.6878708758604,1.79281141225222E-8
55.6644399986437,1.80213991116246E-8
56.6410091214269,1.79133336591121E-8
57.6175782442101,2.02137210147358E-8
58.5941473669933,3.03808537655604E-8
59.5707164897765,4.16320591926019E-8
60.5472856125598,4.08302233908644E-8
61.523854735343,2.93811069154002E-8
62.5004238581262,2.19490834095504E-8
63.4769929809094,2.62569203282815E-8
64.4535621036927,3.38831272542544E-8
65.4301312264759,3.31220872749033E-8
66.4067003492591,2.46270637648574E-8
67.3832694720423,1.89092411241471E-8
68.3598385948255,1.83310391917123E-8
69.3364077176088,1.83715504763666E-8
70.312976840392,1.80502491997856E-8
71.2895459631752,1.72496641654359E-8
72.2661150859584,1.62298713588691E-8
73.2426842087416,1.58925264175688E-8
74.2192533315249,1.66300673740462E-8
75.1958224543081,1.78161263277948E-8
76.1723915770913,1.82032636923769E-8
77.1489606998745,1.79525689328921E-8
78.1255298226578,1.83371846663891E-8
79.102098945441,1.8886941708577E-8
80.0786680682242,1.87688204127358E-8
81.0552371910074,1.82068449911554E-8
82.0318063137907,1.76857252238752E-8
83.0083754365739,1.858860197941E-8
83.9849445593571,2.09268258932423E-8
84.9615136821403,2.17209513090642E-8
85.9380828049235,1.94971180638553E-8
86.9146519277068,1.71621481962458E-8
87.89122105049,1.67306625485977E-8
88.8677901732732,1.74302632885439E-8
89.8443592960564,1.82202167440728E-8
90.8209284188397,1.82592553397858E-8
91.7974975416229,1.75855093413388E-8
92.7740666644061,1.66100411776516E-8
93.7506357871893,1.59765966742029E-8
94.7272049099725,1.61826132216495E-8
95.7037740327558,1.69886316765241E-8
96.680343155539,1.77893723413553E-8
97.6569122783222,1.82708019962566E-8
98.6334814011054,1.80459512531143E-8
99.6100505238886,1.73892567335325E-8
100.586619646672,1.69201716883037E-8
101.563188769455,1.69389774567829E-8
102.539757892238,1.75582324506581E-8
103.516327015022,1.7999423490193E-8
104.492896137805,1.75863846488412E-8
105.469465260588,1.66959700695843E-8
106.446034383371,1.63273985791225E-8
107.422603506154,1.69070316225757E-8
108.399172628938,1.75741312881311E-8
109.375741751721,1.74571967927184E-8
110.352310874504,1.69786533644276E-8
111.328879997287,1.70073437007081E-8
112.305449120071,1.71621873143024E-8
113.282018242854,1.69262729926506E-8
114.258587365637,1.70214188741554E-8
115.23515648842,1.76167284314528E-8
116.211725611203,1.78662764138429E-8
117.188294733987,1.76751176373827E-8
118.16486385677,1.74236454683265E-8
119.141432979553,1.71496739297896E-8
120.118002102336,1.69356671714266E-8
121.09457122512,1.72627906561833E-8
122.071140347903,1.80170623440408E-8
123.047709470686,1.89483512685658E-8
124.024278593469,1.92654018476531E-8
125.000847716252,1.87685260788365E-8
125.977416839036,1.82696880804122E-8
126.953985961819,1.7919600441542E-8
127.930555084602,1.7550888575189E-8
128.907124207385,1.7289858016755E-8
129.883693330169,1.69750090001094E-8
130.860262452952,1.67355945716849E-8
131.836831575735,1.66711832491298E-8
132.813400698518,1.67194650989938E-8
133.789969821301,1.67718674835356E-8
134.766538944085,1.71467617380885E-8
135.743108066868,1.78950711008606E-8
136.719677189651,1.8405663493562E-8
137.696246312434,1.84301814395856E-8
138.672815435218,1.81132151792252E-8
139.649384558001,1.82168770951622E-8
140.625953680784,1.93861641400489E-8
141.602522803567,2.01816491882575E-8
142.57909192635,1.90422736814554E-8
143.555661049134,1.74469752376345E-8
144.532230171917,1.68717127114627E-8
145.5087992947,1.7060602310681E-8
146.485368417483,1.7642006851575E-8
147.461937540267,1.80856841966395E-8
148.43850666305,1.81972152925598E-8
