// SR1 Audio Analyzer: 12/6/2024 10:22:58 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
19.04296875,1.98693214944032E-8
19.287109375,1.96175500334215E-8
19.53125,1.9352920133742E-8
19.775390625,1.87723551249421E-8
20.01953125,1.83642174530213E-8
20.263671875,1.86902051575084E-8
20.5078125,1.9030829230643E-8
20.751953125,1.882392668861E-8
20.99609375,1.86301449710172E-8
21.240234375,1.90971875105028E-8
21.484375,1.97619630797659E-8
21.728515625,1.97729261553753E-8
21.97265625,1.92873442581902E-8
22.216796875,1.85144425602709E-8
22.4609375,1.79069923796678E-8
22.705078125,1.81625777065518E-8
22.94921875,1.85068158367522E-8
23.193359375,1.85306792950886E-8
23.4375,1.87289974110891E-8
23.681640625,1.85465543167672E-8
23.92578125,1.78086534590039E-8
24.169921875,1.7309020127638E-8
24.4140625,1.7286930605024E-8
24.658203125,1.77531935843967E-8
24.90234375,1.82697342761985E-8
25.146484375,1.82790707769234E-8
25.390625,1.83844237017123E-8
25.634765625,1.83433071683526E-8
25.87890625,1.7896325697546E-8
26.123046875,1.77750139187918E-8
26.3671875,1.77946986537762E-8
26.611328125,1.77505343965237E-8
26.85546875,1.80774298831434E-8
27.099609375,1.86132973473755E-8
27.34375,1.90316808992687E-8
27.587890625,1.99944874845631E-8
27.83203125,2.8209242513431E-8
28.076171875,4.98189980030402E-8
28.3203125,6.75722780012563E-8
28.564453125,6.14801397857036E-8
28.80859375,3.80605557869409E-8
29.052734375,2.15663904870636E-8
29.296875,1.85173214531922E-8
29.541015625,1.8266239865135E-8
29.78515625,1.84379917502075E-8
30.029296875,1.9059853176089E-8
30.2734375,1.9214508085299E-8
30.517578125,1.84064534256909E-8
30.76171875,1.7429328966162E-8
31.005859375,1.72487834471893E-8
31.25,1.81208932406335E-8
31.494140625,1.90202250324113E-8
31.73828125,1.91644000018589E-8
31.982421875,1.91167283955444E-8
32.2265625,1.92470304590561E-8
32.470703125,1.89870161609963E-8
32.71484375,1.82617490694234E-8
32.958984375,1.74681091144176E-8
33.203125,1.71369309065197E-8
33.447265625,1.76684221701254E-8
33.69140625,1.83634904657969E-8
33.935546875,1.85236070517167E-8
34.1796875,1.84267799128726E-8
34.423828125,1.81514779017037E-8
34.66796875,1.7756919127092E-8
34.912109375,1.78407760369171E-8
35.15625,1.81316288126906E-8
35.400390625,1.83195127024703E-8
35.64453125,1.91985699344966E-8
35.888671875,2.05345631737961E-8
36.1328125,2.00013043289731E-8
36.376953125,1.79062752164637E-8
36.62109375,1.67485667905828E-8
36.865234375,1.68361015337646E-8
37.109375,1.70558924779797E-8
37.353515625,1.70175300594018E-8
37.59765625,1.70263472239103E-8
37.841796875,1.75203179991124E-8
38.0859375,1.83816575643022E-8
38.330078125,1.92835528153098E-8
38.57421875,1.95445017405213E-8
38.818359375,1.88620737746269E-8
39.0625,1.79394531748933E-8
39.306640625,1.75436684550807E-8
39.55078125,1.76569650123352E-8
39.794921875,1.74753538668818E-8
40.0390625,1.72850253298451E-8
40.283203125,1.7489850271337E-8
40.52734375,1.78701200678369E-8
40.771484375,1.81438328696422E-8
41.015625,1.82544980313913E-8
41.259765625,1.83826311335363E-8
41.50390625,1.81891645037049E-8
41.748046875,1.77024934385971E-8
41.9921875,1.71998579700806E-8
42.236328125,1.68624956207486E-8
42.48046875,1.72233639094601E-8
42.724609375,1.75121756355227E-8
42.96875,1.69025212847639E-8
43.212890625,1.65634166744671E-8
43.45703125,1.72219477974351E-8
43.701171875,1.79265354025709E-8
43.9453125,1.82201546313479E-8
44.189453125,1.83045327147259E-8
44.43359375,1.81835059439833E-8
44.677734375,1.80338670932212E-8
44.921875,1.8068783265069E-8
45.166015625,1.80116148898918E-8
45.41015625,1.79981734157744E-8
45.654296875,1.79681199181846E-8
45.8984375,1.7699486887854E-8
46.142578125,1.75479648118072E-8
46.38671875,1.76892882271635E-8
46.630859375,1.80068986792778E-8
46.875,1.82909709184834E-8
47.119140625,1.85244406214149E-8
47.36328125,1.85619538491617E-8
47.607421875,1.82720071746122E-8
47.8515625,1.79206023239618E-8
48.095703125,1.77641065620454E-8
48.33984375,1.79227289976882E-8
48.583984375,1.82468877527206E-8
48.828125,1.85475564608759E-8
49.072265625,1.84944426689422E-8
49.31640625,1.8314617089229E-8
49.560546875,1.85131941066346E-8
49.8046875,1.88002538456536E-8
50.048828125,1.86697822489942E-8
50.29296875,1.81357002120509E-8
50.537109375,1.78239786423211E-8
50.78125,1.80067623296168E-8
51.025390625,1.82034438804622E-8
51.26953125,1.78429299628223E-8
51.513671875,1.73588435073813E-8
51.7578125,1.73194803682742E-8
52.001953125,1.7707332430691E-8
52.24609375,1.8467082210732E-8
52.490234375,1.86251167950221E-8
52.734375,1.7798444606703E-8
52.978515625,1.72493172211917E-8
53.22265625,1.73356208543996E-8
53.466796875,1.72228983817438E-8
53.7109375,1.66602906485552E-8
53.955078125,1.60823016872231E-8
54.19921875,1.608598612833E-8
54.443359375,1.69289404179628E-8
54.6875,1.75257468760776E-8
54.931640625,1.75970958657738E-8
55.17578125,1.8495946470282E-8
55.419921875,1.95948614547768E-8
55.6640625,1.89596886921144E-8
55.908203125,1.77539428610173E-8
56.15234375,1.78139955417112E-8
56.396484375,1.85821773356046E-8
56.640625,1.89397042394956E-8
56.884765625,1.88556232886576E-8
57.12890625,1.88227028383838E-8
57.373046875,1.86301593852989E-8
57.6171875,1.81453149870518E-8
57.861328125,1.78835859257162E-8
58.10546875,1.7807541333225E-8
58.349609375,1.78352365599508E-8
58.59375,1.78169413210835E-8
58.837890625,1.7453880938809E-8
59.08203125,1.72371614272695E-8
59.326171875,2.12362985203212E-8
59.5703125,4.05413450971911E-8
59.814453125,6.73976475770432E-8
60.05859375,7.51811622728033E-8
60.302734375,5.50241493317796E-8
60.546875,2.89494419302414E-8
60.791015625,1.90127255322424E-8
61.03515625,1.81081493920676E-8
61.279296875,1.7507067410427E-8
61.5234375,1.71279808476578E-8
61.767578125,1.70919929050447E-8
62.01171875,1.7520198664243E-8
62.255859375,1.77908112120227E-8
62.5,1.7798334141745E-8
62.744140625,1.81043260774843E-8
62.98828125,1.85306451361499E-8
63.232421875,1.89099816182878E-8
63.4765625,1.97894214150136E-8
63.720703125,2.21705847062149E-8
63.96484375,2.40334120585418E-8
64.208984375,2.40013071558065E-8
64.453125,3.30853777769019E-8
64.697265625,5.3265090765796E-8
64.94140625,6.22398516575174E-8
65.185546875,4.87336472353462E-8
65.4296875,2.80136002804703E-8
65.673828125,1.8651235549498E-8
65.91796875,1.73088766182027E-8
66.162109375,1.70645257099149E-8
66.40625,1.72441144445787E-8
66.650390625,1.79603594584972E-8
66.89453125,1.84146373368285E-8
67.138671875,1.83551740239291E-8
67.3828125,1.8161373715857E-8
67.626953125,1.78831890693909E-8
67.87109375,1.77723806607649E-8
68.115234375,1.77458930998855E-8
68.359375,1.77075788680852E-8
68.603515625,1.78153247557582E-8
68.84765625,1.79139820116908E-8
69.091796875,1.76513287299457E-8
69.3359375,1.73829995855042E-8
69.580078125,1.75744237967606E-8
69.82421875,1.74594266043789E-8
70.068359375,1.67129824395611E-8
70.3125,1.62289748927684E-8
70.556640625,1.68342215762899E-8
70.80078125,1.83130072723332E-8
71.044921875,1.89733234791102E-8
71.2890625,1.82696324353326E-8
71.533203125,1.77653002262096E-8
71.77734375,1.82028274401524E-8
72.021484375,1.88651965144254E-8
72.265625,1.9002764326136E-8
72.509765625,1.88885848666907E-8
72.75390625,1.8284893834288E-8
72.998046875,1.76765989049378E-8
73.2421875,1.77731156380122E-8
73.486328125,1.81161906553756E-8
73.73046875,1.8152633941729E-8
73.974609375,1.79456985442957E-8
74.21875,1.77622189944966E-8
74.462890625,1.79180707501825E-8
74.70703125,1.82041277359708E-8
74.951171875,1.79792059652348E-8
75.1953125,1.76094661380425E-8
75.439453125,1.80729919370305E-8
75.68359375,1.9116956162685E-8
75.927734375,1.897636726346E-8
76.171875,1.79325082344482E-8
76.416015625,1.77346109145903E-8
76.66015625,1.812011838261E-8
76.904296875,1.80313258908341E-8
77.1484375,1.73600606174585E-8
77.392578125,1.70900894672133E-8
77.63671875,1.73912829423695E-8
77.880859375,1.77284139857987E-8
78.125,1.82854875770203E-8
78.369140625,1.84291687495634E-8
78.61328125,1.76386523357676E-8
78.857421875,1.70934231497057E-8
79.1015625,1.76130010060847E-8
79.345703125,1.82449197674926E-8
79.58984375,1.80167738278721E-8
79.833984375,1.72500683689197E-8
80.078125,1.69855665246703E-8
80.322265625,1.72909612843802E-8
80.56640625,1.76448378492917E-8
80.810546875,1.75809423108459E-8
81.0546875,1.73183634113656E-8
81.298828125,1.73702228906099E-8
81.54296875,1.76089040662218E-8
81.787109375,1.74085292509607E-8
82.03125,1.68481994497934E-8
