// SR1 Audio Analyzer: 12/6/2024 10:43:50 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,8.817603538078E-7
0.244140625,9.29738259280867E-7
0.48828125,8.89070331673509E-7
0.732421875,7.28632159276434E-7
0.9765625,5.86945673445977E-7
1.220703125,5.09823618017624E-7
1.46484375,4.89130712062115E-7
1.708984375,4.78866030121419E-7
1.953125,4.47658195945768E-7
2.197265625,4.08170284791374E-7
2.44140625,3.96975583436467E-7
2.685546875,4.11490142018155E-7
2.9296875,4.1357130376632E-7
3.173828125,3.94669515177261E-7
3.41796875,3.69282963926419E-7
3.662109375,3.48315092008241E-7
3.90625,3.39780675162388E-7
4.150390625,3.43740080679771E-7
4.39453125,3.5307451896066E-7
4.638671875,3.55555059131018E-7
4.8828125,3.51554320770718E-7
5.126953125,3.49044294826073E-7
5.37109375,3.50897946410484E-7
5.615234375,3.51431885401279E-7
5.859375,3.4067729725355E-7
6.103515625,3.2040531635859E-7
6.34765625,3.09146657082134E-7
6.591796875,3.08000798362222E-7
6.8359375,3.03400550084598E-7
7.080078125,3.00624864018717E-7
7.32421875,3.06810555262869E-7
7.568359375,3.11446933334416E-7
7.8125,3.02197713305216E-7
8.056640625,2.93624525242678E-7
8.30078125,3.0356131878651E-7
8.544921875,3.19463298572118E-7
8.7890625,3.29614189478308E-7
9.033203125,3.3371178623371E-7
9.27734375,3.28225701602341E-7
9.521484375,3.1514089264586E-7
9.765625,3.07732424863713E-7
10.009765625,3.04766862077249E-7
10.25390625,2.98950820617888E-7
10.498046875,2.92386226204689E-7
10.7421875,2.89188774234736E-7
10.986328125,2.9093967324036E-7
11.23046875,2.89471710851004E-7
11.474609375,2.83104228705663E-7
11.71875,2.82824488663604E-7
11.962890625,2.86496829872261E-7
12.20703125,2.88521893485227E-7
12.451171875,2.84812486014517E-7
12.6953125,2.85847392970391E-7
12.939453125,2.93911044173317E-7
13.18359375,2.9582665522804E-7
13.427734375,2.92196219832762E-7
13.671875,2.9059730614786E-7
13.916015625,2.90708421628776E-7
14.16015625,2.92370640588525E-7
14.404296875,2.91839409928558E-7
14.6484375,2.9332927267143E-7
14.892578125,2.99780607920203E-7
15.13671875,3.01291342437825E-7
15.380859375,2.97162603498433E-7
15.625,2.88279742901042E-7
15.869140625,2.76648085475074E-7
16.11328125,2.74575048353389E-7
16.357421875,2.82085508935589E-7
16.6015625,2.88628704074143E-7
16.845703125,2.90981341789531E-7
17.08984375,2.97307239914742E-7
17.333984375,3.04991189592004E-7
17.578125,2.98908751663102E-7
17.822265625,2.8531487652376E-7
18.06640625,2.80154341720788E-7
18.310546875,2.77946304484333E-7
18.5546875,2.76264619100181E-7
18.798828125,2.84713893564449E-7
19.04296875,2.9014707076531E-7
19.287109375,2.76854057448359E-7
19.53125,2.71081620287149E-7
19.775390625,2.81546784275897E-7
20.01953125,2.81472693985302E-7
20.263671875,2.76217575024152E-7
20.5078125,2.77426429003579E-7
20.751953125,2.7430713428199E-7
20.99609375,2.70174342338628E-7
21.240234375,2.7570408430646E-7
21.484375,2.83345993203056E-7
21.728515625,2.94709669219694E-7
21.97265625,3.09281307233647E-7
22.216796875,3.07471706598025E-7
22.4609375,2.93194062748269E-7
22.705078125,2.87726470682652E-7
22.94921875,2.85482914716147E-7
23.193359375,2.82935619524417E-7
23.4375,2.89437866709984E-7
23.681640625,2.91649434558866E-7
23.92578125,2.79009259374462E-7
24.169921875,2.71769705824559E-7
24.4140625,2.7570731690832E-7
24.658203125,2.75613030475873E-7
24.90234375,2.71546469093824E-7
25.146484375,2.66029805846453E-7
25.390625,2.60157306369409E-7
25.634765625,2.59362865084444E-7
25.87890625,2.63338105507447E-7
26.123046875,2.70420630152717E-7
26.3671875,2.76073308711424E-7
26.611328125,2.76964818113977E-7
26.85546875,2.75429825212979E-7
27.099609375,2.76461125694999E-7
27.34375,2.81172784492637E-7
27.587890625,2.85299257444114E-7
27.83203125,2.86340276541557E-7
28.076171875,2.84836708581591E-7
28.3203125,2.86815004734704E-7
28.564453125,2.86901912951195E-7
28.80859375,2.76928434770021E-7
29.052734375,2.68230618990613E-7
29.296875,2.77679096632234E-7
29.541015625,2.94453663137175E-7
29.78515625,2.95872763880403E-7
30.029296875,2.82350129313659E-7
30.2734375,2.68903621389604E-7
30.517578125,2.66831716628152E-7
30.76171875,2.69536433240863E-7
31.005859375,2.68901247448428E-7
31.25,2.69371991759626E-7
31.494140625,2.71424270968078E-7
31.73828125,2.69962546464277E-7
31.982421875,2.65871072727545E-7
32.2265625,2.61720080957094E-7
32.470703125,2.5721107432106E-7
32.71484375,2.55278386666891E-7
32.958984375,2.62804850418832E-7
33.203125,2.74974863004985E-7
33.447265625,2.8082751535153E-7
33.69140625,2.7962895696784E-7
33.935546875,2.7982245166456E-7
34.1796875,2.8196570133983E-7
34.423828125,2.76416984068821E-7
34.66796875,2.67774537807121E-7
34.912109375,2.67359548128072E-7
35.15625,2.69501670802255E-7
35.400390625,2.67064272674007E-7
35.64453125,2.68097559458094E-7
35.888671875,2.74640593668657E-7
36.1328125,2.82099312877394E-7
36.376953125,2.86227774125103E-7
36.62109375,2.80297803953272E-7
36.865234375,2.68552168671486E-7
37.109375,2.65282960264234E-7
37.353515625,2.71673600949288E-7
37.59765625,2.77165780118506E-7
37.841796875,2.76214792835621E-7
38.0859375,2.74751933882539E-7
38.330078125,2.80969340583387E-7
38.57421875,2.90655073929076E-7
38.818359375,2.91356798423045E-7
39.0625,2.83838289893002E-7
39.306640625,2.76313947670282E-7
39.55078125,2.72635070418677E-7
39.794921875,2.71231501754792E-7
40.0390625,2.66400853681193E-7
40.283203125,2.61323926378057E-7
40.52734375,2.61614174925053E-7
40.771484375,2.64328019836528E-7
41.015625,2.68102953438998E-7
41.259765625,2.68762344531559E-7
41.50390625,2.65386652856805E-7
41.748046875,2.63593109505828E-7
41.9921875,2.66532595498016E-7
42.236328125,2.69380495572411E-7
42.48046875,2.70657150972183E-7
42.724609375,2.73630822372535E-7
42.96875,2.75858396539393E-7
43.212890625,2.70524123246001E-7
43.45703125,2.63927398116E-7
43.701171875,2.64411473613828E-7
43.9453125,2.68338397064769E-7
44.189453125,2.73831559236368E-7
44.43359375,2.75017861263739E-7
44.677734375,2.71970796234844E-7
44.921875,2.73940718749899E-7
45.166015625,2.76570916295668E-7
45.41015625,2.71318496962686E-7
45.654296875,2.64246342245555E-7
45.8984375,2.63283044653881E-7
46.142578125,2.58111639638741E-7
46.38671875,2.49733461057197E-7
46.630859375,2.5157969496417E-7
46.875,2.60587252271925E-7
47.119140625,2.66511776184175E-7
47.36328125,2.68903502693043E-7
47.607421875,2.74569709981517E-7
47.8515625,2.77361798740085E-7
48.095703125,2.73982167709217E-7
48.33984375,2.70171788722523E-7
48.583984375,2.66853237833793E-7
48.828125,2.67861564999801E-7
49.072265625,2.7479654847068E-7
49.31640625,2.74797522351458E-7
49.560546875,2.66009787097447E-7
49.8046875,2.60905564955634E-7
50.048828125,2.69674427597797E-7
50.29296875,2.81914043530765E-7
50.537109375,2.80458255512323E-7
50.78125,2.67077906119068E-7
51.025390625,2.53217875041155E-7
51.26953125,2.43322162016463E-7
51.513671875,2.42415806375943E-7
51.7578125,2.5630361843828E-7
52.001953125,2.7073447317002E-7
52.24609375,2.72194830513861E-7
52.490234375,2.63204746101793E-7
52.734375,2.57071613979078E-7
52.978515625,2.54452320821259E-7
53.22265625,2.50775155211421E-7
53.466796875,2.44731878747478E-7
53.7109375,2.41773701877913E-7
53.955078125,2.52593481304222E-7
54.19921875,2.67882536039253E-7
54.443359375,2.74399158308104E-7
54.6875,2.73746869460764E-7
54.931640625,2.68613050498851E-7
55.17578125,2.67515626728069E-7
55.419921875,2.68789301456442E-7
55.6640625,2.66497809750716E-7
55.908203125,2.65711736573893E-7
56.15234375,2.65313602191946E-7
56.396484375,2.62318053463772E-7
56.640625,2.66517856328905E-7
56.884765625,2.72984702341655E-7
57.12890625,2.71256602174615E-7
57.373046875,2.70933350522025E-7
57.6171875,2.69401813168528E-7
57.861328125,2.59709509686181E-7
58.10546875,2.49945158976249E-7
58.349609375,2.44016211074775E-7
58.59375,2.45182816775524E-7
58.837890625,2.51698680691346E-7
59.08203125,2.57839902527011E-7
59.326171875,3.5758479137378E-7
59.5703125,8.05529275705139E-7
59.814453125,1.39516902050265E-6
60.05859375,1.57272087232798E-6
60.302734375,1.14962478131544E-6
60.546875,5.65336336912611E-7
60.791015625,2.81597314966923E-7
61.03515625,2.49223290905199E-7
61.279296875,2.49811903171904E-7
61.5234375,2.44073757384905E-7
61.767578125,2.46462502439283E-7
62.01171875,2.5728145369453E-7
62.255859375,2.61727566976931E-7
62.5,2.69589542973953E-7
62.744140625,2.82511857351175E-7
62.98828125,2.79517583064184E-7
63.232421875,2.61536559598784E-7
63.4765625,2.52446782353575E-7
63.720703125,2.62330482886089E-7
63.96484375,2.7615846749111E-7
64.208984375,2.76320460764907E-7
64.453125,2.67278199850682E-7
64.697265625,2.63590874027988E-7
64.94140625,2.67234581026825E-7
65.185546875,2.69949950026989E-7
65.4296875,2.69906672011328E-7
65.673828125,2.6626956304928E-7
65.91796875,2.6438733917845E-7
66.162109375,2.65092930895241E-7
66.40625,2.6362854861148E-7
66.650390625,2.63611514219472E-7
66.89453125,2.64582904923849E-7
67.138671875,2.57918677885762E-7
67.3828125,2.4955541023242E-7
67.626953125,2.48241773452798E-7
67.87109375,2.51508188650213E-7
68.115234375,2.56319299374778E-7
68.359375,2.63431929530659E-7
68.603515625,2.69378171405865E-7
68.84765625,2.65236254824781E-7
69.091796875,2.52450244684059E-7
69.3359375,2.45491459820846E-7
69.580078125,2.50424388835301E-7
69.82421875,2.58806326911698E-7
70.068359375,2.63858409920995E-7
70.3125,2.64677846102799E-7
70.556640625,2.64171052389234E-7
70.80078125,2.66621915850106E-7
71.044921875,2.66379480267203E-7
71.2890625,2.60589466407398E-7
71.533203125,2.60053813427947E-7
71.77734375,2.65833364993977E-7
72.021484375,2.66229818324173E-7
72.265625,2.60519509477107E-7
72.509765625,2.61092877563916E-7
72.75390625,2.6112486681109E-7
72.998046875,2.45832406229026E-7
73.2421875,2.36219087038272E-7
73.486328125,2.4221926071775E-7
73.73046875,2.43252679485489E-7
73.974609375,2.4788323262912E-7
74.21875,2.62923574712514E-7
74.462890625,2.67353441207857E-7
74.70703125,2.58125289372091E-7
74.951171875,2.5419373941041E-7
75.1953125,2.61007732464937E-7
75.439453125,2.63344706442307E-7
75.68359375,2.67512056510502E-7
