// SR1 Audio Analyzer: 12/6/2024 10:28:55 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,4.33829166457584E-7
0.976569122783222,4.53147985210127E-7
1.95313824556644,4.36208205736667E-7
2.92970736834967,3.81709651241428E-7
3.90627649113289,3.56337869551868E-7
4.88284561391611,3.49135712561546E-7
5.85941473669933,3.38385333525641E-7
6.83598385948255,3.2028576856363E-7
7.81255298226578,3.02975857333736E-7
8.789122105049,2.92897957128886E-7
9.76569122783222,2.84025744528033E-7
10.7422603506154,2.89229404728055E-7
11.7188294733987,3.02867669839849E-7
12.6953985961819,3.03907484926571E-7
13.6719677189651,2.91108352700388E-7
14.6485368417483,2.81246840302681E-7
15.6251059645316,2.88482610188075E-7
16.6016750873148,2.92100380190405E-7
17.578244210098,2.85590320269553E-7
18.5548133328812,2.86018612069861E-7
19.5313824556644,2.8578989909191E-7
20.5079515784477,2.80591184834406E-7
21.4845207012309,2.77129910429641E-7
22.4610898240141,2.74660439253123E-7
23.4376589467973,2.68931668831121E-7
24.4142280695806,2.6286381296603E-7
25.3907971923638,2.65813516183729E-7
26.367366315147,2.75437945892049E-7
27.3439354379302,2.79352829563714E-7
28.3205045607134,2.72066615641868E-7
29.2970736834967,2.65125632127947E-7
30.2736428062799,2.68029717905952E-7
31.2502119290631,2.78961481178094E-7
32.2267810518463,2.8640099472616E-7
33.2033501746295,2.80812223737926E-7
34.1799192974128,2.67939638970625E-7
35.156488420196,2.60713964770538E-7
36.1330575429792,2.6563896016144E-7
37.1096266657624,2.72713956516306E-7
38.0861957885457,2.73064314641415E-7
39.0627649113289,2.68307084844542E-7
40.0393340341121,2.6484283821241E-7
41.0159031568953,2.64434974481023E-7
41.9924722796786,2.65497065071943E-7
42.9690414024618,2.70739615106592E-7
43.945610525245,2.79719721725777E-7
44.9221796480282,2.87312176067118E-7
45.8987487708114,2.89684117597458E-7
46.8753178935947,2.81957002381642E-7
47.8518870163779,2.70027947541115E-7
48.8284561391611,2.64093268128687E-7
49.8050252619443,2.55849230516359E-7
50.7815943847275,2.49755128484773E-7
51.7581635075108,2.49123839792601E-7
52.734732630294,2.4761116780523E-7
53.7113017530772,2.4917561489798E-7
54.6878708758604,2.52719004204524E-7
55.6644399986437,2.58483377442411E-7
56.6410091214269,2.65371924056385E-7
57.6175782442101,3.17127987182384E-7
58.5941473669933,5.29100236085478E-7
59.5707164897765,7.59362683248487E-7
60.5472856125598,7.47157050641002E-7
61.523854735343,5.11396412339961E-7
62.5004238581262,3.14705580352662E-7
63.4769929809094,2.60754117104953E-7
64.4535621036927,2.5064692504166E-7
65.4301312264759,2.52194906590558E-7
66.4067003492591,2.60774294520269E-7
67.3832694720423,2.67656029741206E-7
68.3598385948255,2.68502566290065E-7
69.3364077176088,2.66890369104023E-7
70.312976840392,2.69566281998326E-7
71.2895459631752,2.73446289060626E-7
72.2661150859584,2.72886866032858E-7
73.2426842087416,2.68695082019991E-7
74.2192533315249,2.62845430625135E-7
75.1958224543081,2.58745063857904E-7
76.1723915770913,2.60819436186329E-7
77.1489606998745,2.68360090209698E-7
78.1255298226578,2.78560416621617E-7
79.102098945441,2.83658233170701E-7
80.0786680682242,2.79887250589852E-7
81.0552371910074,2.718486443421E-7
82.0318063137907,2.68335761928137E-7
83.0083754365739,2.69462193235552E-7
83.9849445593571,2.66923484808248E-7
84.9615136821403,2.63211331725179E-7
85.9380828049235,2.64991995619287E-7
86.9146519277068,2.6722011946622E-7
87.89122105049,2.658351290557E-7
88.8677901732732,2.69282626247176E-7
89.8443592960564,2.8086727489556E-7
90.8209284188397,2.84252542905472E-7
91.7974975416229,2.74222573474258E-7
92.7740666644061,2.57293477536381E-7
93.7506357871893,2.44328337612265E-7
94.7272049099725,2.45337231867693E-7
95.7037740327558,2.55100375430198E-7
96.680343155539,2.65855105545165E-7
97.6569122783222,2.73678373898575E-7
98.6334814011054,2.76089565334033E-7
99.6100505238886,2.69043482579613E-7
100.586619646672,2.58602338788905E-7
101.563188769455,2.55886039564142E-7
102.539757892238,2.56614701453705E-7
103.516327015022,2.54630756183529E-7
104.492896137805,2.55121538928439E-7
105.469465260588,2.58763082792496E-7
106.446034383371,2.60247560058007E-7
107.422603506154,2.58009952564548E-7
108.399172628938,2.57973798710294E-7
109.375741751721,2.61587679985193E-7
110.352310874504,2.63015688969229E-7
111.328879997287,2.6089189128887E-7
112.305449120071,2.59651088478314E-7
113.282018242854,2.61123117941177E-7
114.258587365637,2.63401823724179E-7
115.23515648842,2.66666960711835E-7
116.211725611203,2.6676886366667E-7
117.188294733987,2.62261926539091E-7
118.16486385677,2.53202942610531E-7
119.141432979553,2.4416257541257E-7
120.118002102336,2.46013760357356E-7
121.09457122512,2.5927251176313E-7
122.071140347903,2.72913091691034E-7
123.047709470686,2.81546827878332E-7
124.024278593469,2.81383454491325E-7
125.000847716252,2.69674992070323E-7
125.977416839036,2.60216425364714E-7
126.953985961819,2.67094976821862E-7
127.930555084602,2.8196121692543E-7
128.907124207385,2.8738060025652E-7
129.883693330169,2.72914198241438E-7
130.860262452952,2.5691548830735E-7
131.836831575735,2.59129546611337E-7
132.813400698518,2.625509324039E-7
133.789969821301,2.60206423733332E-7
134.766538944085,2.62104799008975E-7
135.743108066868,2.71650617848008E-7
136.719677189651,2.77505908361989E-7
137.696246312434,2.67890289775349E-7
138.672815435218,2.55505603062131E-7
139.649384558001,2.50206718148558E-7
140.625953680784,2.49490045199783E-7
141.602522803567,2.54737936677946E-7
142.57909192635,2.6326632364304E-7
